location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
,W1,31.79,100.25,,Metamorphic Rock,,10,1666,7.78,,21.089127393930145,,2.9756714823885355,1.772392511828842,6.778182544039123,0.025726375176304654,0.2763793462419321,9.233817440442632,,0.026957693812774467,,,,,,,,,10.0,
,W1,31.79,100.25,,Metamorphic Rock,,9.8,1550,6.67,,30.175357146452757,,3.627918140456305,2.0204484673935403,5.863191776036729,0.3119887165021156,0.21970643347907556,17.947057203917606,,0.1850464086673845,,,,,,,,,10.0,
,W1,31.79,100.25,,Metamorphic Rock,,11.29,30400,7.04,,23.526523428843497,,2.9595773667843295,1.698498251388603,5.1003044064075045,0.2664033850493653,0.23190714136997712,13.118087149768586,,0.1517457280751337,,,,,,,,,10.0,
,W2,31.76,100.29,,Metamorphic Rock,,25,644,8.11,,3.800171659854208,,0.11957492917827926,0.381979016663238,0.8373172313987723,0.008716502115655852,0.04787632729544035,2.395244326152797,,0.009463327050025193,,,,,,,,,10.0,
,W3,31.58,100.43,,Metamorphic Rock,,26.2,1549,7.58,,9.284507592562823,,0.5870002434561217,0.8871837070561612,2.144717800289435,0.02031029619181946,0.23740370601707264,5.378606678816325,,0.02928516073588877,,,,,,,,,10.0,
,W,,,,Metamorphic Rock,,26,562,7.41,,9.156566566862834,,0.6729950179142731,0.8610162518000412,2.0757023803583015,0.048321579689703804,0.21755153029356653,5.234558351142636,,0.046421455664312765,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,11,—,7.26,,43.67995747258725,,19.5208572996101,0.734211067681547,1.8014371974649435,0.09571227080394921,0.05961898813241724,21.1829420094138,,0.28517863948048894,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,10.5,1970,7.3,,40.75096193078116,,18.856387813205085,0.7611191112939724,1.7729427616148508,0.08346967559943581,0.11264834478450968,18.89279673794758,,0.271597486335723,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,11.3,44600,7.71,,43.15379554873063,,19.53582047736104,0.5825550298292532,1.6047457457956982,0.08716502115655853,0.003206329377472413,21.046223662991174,,0.2940792822194315,,,,,,,,,10.0,
,W5,31.58,100.72,,Metamorphic Rock,,13,1410,8.68,,34.09802421490964,,13.342674300033202,1.1050401152026332,1.2781326413493683,0.03638928067700987,0.049958359358734106,17.849084186650234,,0.43674533163845997,,,,,,,,,10.0,
,W5,31.58,100.72,,Metamorphic Rock,,19.7,—,6.54,,49.94566776598221,,16.19054980500239,2.2684221353630942,4.775637506861619,0.047842031029619175,0.0412346450135332,26.005509826801795,,0.6164718159101547,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,37.5,2613,6.85,,51.14694707191191,,26.406093945528557,0.8973462250565727,0.2819501971156245,0.1717912552891396,0.1275244638767437,22.93793020938495,,0.3243107756603228,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,37.2,2672,8.64,,53.75440846080464,,26.95633870875345,0.9129808681341288,0.2835470831877838,0.1616361071932299,0.1209660628773683,24.983119403180762,,0.33582022747792106,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,33.2,3430,9.95,,50.93398407458446,,25.81974616621855,0.8977576630322979,0.2577473925844603,0.17235543018335683,0.12075785967103893,23.342587615214168,,0.3230319476805897,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,28.2,3020,8.81,,54.5028208271944,,26.964603254604253,0.8767743262703147,0.24976296222366384,0.16784203102961917,0.1285654799083906,25.79224082547757,,0.3230319476805897,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,45.5,3010,9.98,,72.18358139847477,,38.11186282015274,0.5272418019337585,0.0678605391985628,0.148068899283385,,32.89434057505474,,0.4342067628515818,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,31.5,2407,8.27,,57.86291136048107,,26.891994257271573,1.0459114311869986,0.25399641863366434,0.13657069675599434,0.046345643347907556,29.15197126037419,,0.3361216529107403,,,,,,,,,10.0,
,W6,31.27,100.8,,Metamorphic Rock,,—,—,—,,62.982545060956426,,28.708695613056527,0.5179403676161407,0.19274421382039597,0.18484908321579688,0.019107849260878617,32.93455245112821,,0.42465548285846955,,,,,,,,,10.0,
,W7,31.33,100.9,,Metamorphic Rock,,39.9,—,6.97,,45.35822527011936,,17.505308557036827,0.7846122197078791,3.668745945406457,0.03390691114245416,0.13031438684155736,22.936603033918527,,0.29873421606566014,,,,,,,,,10.0,
,W7,31.33,100.9,,Metamorphic Rock,,38.3,44600,7.58,,43.39014530096036,,17.262330909023056,0.489158609339642,3.502644842557013,0.04011283497884344,0.120737039350406,21.67635011996696,,0.2988109457444441,,,,,,,,,10.0,
,W8,31.17,100.92,,Metamorphic Rock,,14.5,1600,9.61,,46.3990218896764,,13.093954967533602,4.190907220736474,2.7967463446279752,0.04282087447108603,0.05622527586924838,25.92635962554575,,0.29200758089226386,,,,,,,,,10.0,
,W8,31.17,100.92,,Metamorphic Rock,,16.5,—,6.62,,54.3225280397232,,12.858458908395296,4.539024891997531,6.772718199510954,0.03873060648801128,0.04838642515094732,29.780158251497948,,0.28505075668251556,,,,,,,,,10.0,
,W8,31.17,100.92,,Metamorphic Rock,,15.5,2570,6.79,,57.22557557830984,,12.489251196912853,4.222053075498869,6.40847846698937,0.04767277856135402,0.04014157818030398,33.73870802795296,,0.27927045421412183,,,,,,,,,10.0,
,W8,31.17,100.92,,Metamorphic Rock,,15.89,52600,7.3,,48.9158630719127,,11.751096759606414,3.7221970787903724,6.825540196616596,0.03196050775740479,0.04351447012283989,26.270544833554037,,0.2710092254650458,,,,,,,,,10.0,
,W9,31.08,101.01,,Metamorphic Rock,,15.6,—,6.89,,44.80676537016727,,3.5535807254087683,9.15145031886443,5.347322720694645,0.02964739069111424,1.3403601915469499,25.18214458968677,,0.20225943327459245,,,,,,,,,10.0,
,W9,31.08,101.01,,Metamorphic Rock,,14.3,2510,7.16,,46.470683219544206,,3.461191802318675,9.072495371322773,6.698962024053096,0.03737658674188998,1.4231001457422445,25.578955304112966,,0.1986019852525557,,,,,,,,,10.0,
,W9,31.08,101.01,,Metamorphic Rock,,14.3,53300,7.46,,46.96139688012546,,3.377154420298873,8.999177124048549,7.0135735316133525,0.04332863187588152,1.6311680199875078,25.69770259993969,,0.1992925523616116,,,,,,,,,10.0,
,W10,31.07,101.02,,Metamorphic Rock,,15.3,57600,7.71,,49.77192785496188,,1.3579953761170893,18.117794692450115,1.2848196017765356,0.024090267983074756,7.171174266083698,21.641979585950097,,0.17407406460127423,,,,,,,,,10.0,
,W11,31.01,101.08,,Metamorphic Rock,,12.6,—,6.79,,24.955666637289234,,0.7207553934099991,1.9235959679078378,7.150780977094665,0.050860366713681236,0.07631688528003332,15.013049258564854,,0.02030778831816217,,,,,,,,,10.0,
,W11,31.01,101.08,,Metamorphic Rock,,12.9,1430,6.98,,24.848800230990175,,0.7322822599913902,1.8094219296441063,6.861844403413344,0.06882933709449929,0.07137205912971059,15.274793171716642,,0.030257070000485956,,,,,,,,,10.0,
,W11,31.01,101.08,,Metamorphic Rock,,13.19,29600,7.46,,24.543903912569874,,0.6577273568951476,0.9533840773503395,6.635610559409152,0.04473906911142454,0.06739537788881948,16.154150987924638,,0.030896483990352518,,,,,,,,,10.0,
,W12,31.06,101.1,,Metamorphic Rock,,51.6,2100,9.8,,48.383774406482196,,21.504270670789644,0.435079210330648,0.22692482240727654,0.05804513399153737,0.23237976264834476,25.528969070813282,,0.39810573550145656,,,,,,,,,10.0,
,W12,31.06,101.1,,Metamorphic Rock,,55,2400,7.21,,50.29572292657652,,23.50615180169927,0.5140506068710142,0.4703328509406657,0.04880112834978843,0.2114719966687487,25.119295013832257,,0.42561952821478166,,,,,,,,,10.0,
,W12,31.06,101.1,,Metamorphic Rock,,52.3,2010,9.86,,50.4336057927952,,23.428639061140633,0.5824315984365357,0.9291381805479314,0.06510578279266571,0.29056839475327917,24.74018630934431,,0.39753646577984203,,,,,,,,,10.0,
,W12,31.06,101.1,,Metamorphic Rock,,52,—,7.21,,49.182149674511614,,24.001589576650378,0.5676609751080025,1.038924098008883,0.04880112834978843,0.22542161149281698,22.872444703753718,,0.42730758114802947,,,,,,,,,10.0,
,W12,31.06,101.1,,Metamorphic Rock,,52,2160,7.4,,46.86202286356115,,23.06647796243625,0.5504628677226908,1.00566395528719,0.05413258110014104,0.20401832188215696,21.57605774147448,,0.40520943365824086,,,,,,,,,10.0,
,W13,31.18,101.17,,Metamorphic Rock,,51.5,880,9.45,,20.94581035913522,,7.9844543994246315,0.46647188451271343,0.559467176114881,0.2433342736248237,0.0633635227982511,11.353528864181667,,0.2751902384782484,,,,,,,,,10.0,
,W13,31.18,101.17,,Metamorphic Rock,,51.2,1223,7.59,,20.189349617506444,,8.240361179792629,0.5054926969759309,0.16408004391436695,0.19461212976022563,0.05009369144284822,10.739402918540467,,0.29530695707997534,,,,,,,,,10.0,
,W14,31.28,101.18,,Metamorphic Rock,,35.4,1080,9.37,,28.17387725878928,,9.276484778009602,0.8977142124433327,1.4707547888736239,0.5414301833568406,0.05342390172808661,15.440370520905716,,0.49369887347207675,,,,,,,,,10.0,
,W14,31.28,101.18,,Metamorphic Rock,,36.6,1603,7.21,,26.760270413007767,,9.749771735418483,1.0075293149557705,0.14347023304556114,0.5016361071932299,0.08506141994586718,14.7593777451456,,0.5134238573032587,,,,,,,,,10.0,
,W15,31.14,101.18,,Metamorphic Rock,,53,738,9.35,,20.13137269535984,,7.8092663045939705,0.38107218382113967,0.63511488617433,0.24932016925246825,0.0915032271496981,10.662653564264268,,0.3024423601039636,,,,,,,,,10.0,
,W15,31.14,101.18,,Metamorphic Rock,,54.6,839,8.18,,18.19704262029214,,6.6793189614040935,0.4033737914009463,0.16627576226358598,0.18905500705218617,0.06959192171559442,10.394350408412109,,0.29507676804362337,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,46,3120,9.87,,75.57117322625511,,37.14695871889796,0.5760131660152232,0.2120864314586556,0.18484908321579688,0.019107849260878617,36.9845681845,,0.44758979290659695,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,44.5,—,8.31,,75.30040236140272,,36.74037664432383,0.5471456930672701,0.2352330062877389,0.1688642143864598,0.022314569019362896,37.14976858832322,,0.4366996459948386,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,43.4,3450,7.82,,80.55946803506168,,36.794497587165836,0.5718164986628266,0.12420779480013971,0.15918194640338507,0.018821569852175722,42.427495378322035,,0.46344725985528784,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,46.6,3100,8.7,,81.89838659479847,,36.494494572781484,0.6462867722690805,2.275911971655272,0.25636107193229896,0.026275244638767438,41.742003841564944,,0.4570531199566222,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,42.8,—,7.26,,80.34621659094329,,38.76298191599925,0.6399917712404855,2.4591795997804278,0.18338504936530323,0.02070580886945659,37.8106425771263,,0.46932986856206027,,,,,,,,,10.0,
,W16,30.95,101.24,,Metamorphic Rock,,42.7,3420,7.66,,75.19674051325606,,37.39376415656895,0.6067475828018927,2.1915764259693598,0.1884062059238364,0.018238600874453465,34.38752933618282,,0.41047820493474135,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,44.5,1223,6.69,,23.5189138980576,,9.647769840575606,1.0964822053075498,0.4566096112580468,0.24964739069111422,0.10503851759317093,11.797885992054645,,0.16548034057746755,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,55,1226,7.91,,21.636201909038448,,8.918314925217388,1.0742645546183913,0.47158041818454005,0.23354019746121296,0.10176972725379971,10.659588834550483,,0.17714325175263373,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,42.5,946,9.34,,21.046894476232506,,8.652979505796688,1.0586299115408353,0.43490194121463144,0.2366713681241185,0.0971267957526546,10.39598930130718,,0.1705956524964001,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,43.2,1177,8.66,,20.737295147422575,,7.689072473933949,1.0668586710553385,0.4700833374918908,0.2406205923836389,0.10024984384759526,11.004674122536743,,0.1657361061734142,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,40.6,958,9.55,,23.11448821824018,,9.90765197057874,1.0529993927175478,0.5053168205748789,0.22678689411334269,0.04351331118850718,11.169323858347209,,0.20889597071995458,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,44,1188,8.48,,18.767078980092982,,11.291947062625988,0.7327756257971612,0.4429935446878587,0.3054730380818053,0.0,5.758414076123297,,0.23547563277687264,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,45.5,1323,7.66,,25.533483541469767,,10.42733400235557,0.8524171981073854,0.2051749089275912,0.2600846262341326,0.045325838017905476,13.500527723512212,,0.24261924431497023,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,46.4,1150,9.33,,28.533732011243575,,12.200688053890406,0.7468422135363094,0.9100004990268974,0.4339915373765867,0.034249427441182596,13.951657576274076,,0.25630270369811475,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,41,—,7.34,,27.938508559791195,,11.592591469709854,0.7814441472947953,1.7227656070662207,0.32330042313117063,0.03433270872371434,13.238002124005192,,0.24607207986024968,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,45.6,1480,7.63,,29.30694801309367,,12.782468584177597,0.6616745525612014,1.6109835820150704,0.3277291960507757,0.023308348948573806,13.625247472827153,,0.2755362765133011,,,,,,,,,10.0,
,W17,30.95,101.24,,Metamorphic Rock,,43.9,30200,7.99,,27.097351916943204,,11.621082404090272,0.5060687101419461,1.7150805928439543,0.2956840620592383,0.006266916510514262,12.717097586238541,,0.23607164505873657,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,37.8,1506,6.57,,28.186726039819938,,13.486868876324943,0.33861345402180626,0.27446479365237786,0.39012693935119885,0.0711013949614824,13.442422414810347,,0.1831281666977848,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,42.5,1362,8.15,,27.90429096702293,,12.56471954981366,0.32520057601316604,0.2916063675832127,0.3671650211565585,0.07087237143452009,14.106688649683365,,0.17803843133844693,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,39.2,124,9.78,,27.119620285981128,,12.191075082137624,0.32092162106562433,0.2814511702180747,0.374330042313117,0.06881115969185926,13.706552949351654,,0.1764782612031725,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,36.5,1515,8.51,,26.833109335444906,,12.253276664067394,0.3229788109442501,0.2784570088327761,0.3661495063469675,0.0682906516760358,13.369268791545935,,0.17468790203154613,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,37.4,1200,9.57,,26.853817167808664,,13.199490370172924,0.44882517506685865,0.1748758641898298,0.3311247678756558,0.011110923621736414,12.390387565391826,,0.2980025014898346,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,34.7,1220,8.49,,19.86669245036554,,12.497127629512068,0.45547542254680107,0.32789948141124803,0.3814600282087447,0.0,5.918370022682278,,0.2863598660044043,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,38.7,1305,8.27,,28.329894269075997,,12.447667482000362,0.4482205307549887,0.25118518888168073,0.4290550070521862,0.02587965854674162,14.413243565706495,,0.3146428361335403,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,38,1160,9.34,,32.3108392039136,,12.848367462935359,0.489158609339642,1.9587055242277558,0.5118194640338504,0.003914220278992297,16.211035321419672,,0.2878386016783338,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,39.6,—,6.69,,23.045906869250874,,6.915119503810587,0.8283069327298911,2.0814661410250013,0.37816643159379404,0.0,12.457409107000037,,0.3854387530915666,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,40,1390,7.1,,31.79981769246117,,12.263237616698106,0.4698621682781321,1.8846499326313688,0.44107193229901265,0.01063918384343119,16.44047213226521,,0.28988472644590685,,,,,,,,,10.0,
,W18,30.95,101.24,,Metamorphic Rock,,39.5,31900,7.52,,29.22244276946949,,12.648060970077603,0.2872659946513063,1.9140925195868055,0.3784203102961918,0.009671038933999584,13.690929383382937,,0.2940025525406475,,,,,,,,,10.0,
,W19,30.86,101.29,,Metamorphic Rock,,45,735,9.46,,17.8635493199819,,4.893867446952773,1.1918945746395557,1.136930891191147,0.07703244005641748,0.1282417239225484,10.013209476734277,,0.4223727664851822,,,,,,,,,10.0,
,W19,30.86,101.29,,Metamorphic Rock,,46.5,897,7.97,,18.149701208131475,,5.034326356215237,1.4708496194198726,0.37362143819551874,0.06612129760225668,0.10993129294191131,10.65493437872848,,0.4399168250281981,,,,,,,,,10.0,
,W19,30.86,101.29,,Metamorphic Rock,,45.2,907,8.16,,24.814784236063158,,5.103705043752289,1.5988068298703972,3.4138929088277856,0.10265162200282087,0.1586924838642515,14.008142019902714,,0.42889332784289846,,,,,,,,,10.0,
,W19,30.86,101.29,,Metamorphic Rock,,39.6,—,6.78,,24.13106836583459,,5.123626949013711,1.6815058629911541,3.5891012525575126,0.07086036671368123,0.12489069331667707,13.09899240864811,,0.4420908325937445,,,,,,,,,10.0,
,W19,30.86,101.29,,Metamorphic Rock,,45.4,1240,7.04,,25.025136984872802,,4.967992501360062,1.5880682987039703,3.363541094865013,0.08857545839210154,0.11252342286071204,14.483011236249688,,0.42142497244125704,,,,,,,,,10.0,
,W20,31.04,101.4,,Metamorphic Rock,,73,941,9.35,,25.097509106278824,,9.63198122312199,0.7179427072661798,0.3646175686214856,0.5726346967559943,0.05778575890068707,13.347979572838955,,0.4045675787735349,,,,,,,,,10.0,
,W21,30.49,101.53,,Metamorphic Rock,,32,—,6.37,,25.814806326190777,,5.436679246320396,2.446821641637523,3.1320175657467937,0.05145275035260931,0.0,14.157604856367424,,0.5902302657660308,,,,,,,,,10.0,
,W21,30.49,101.53,,Metamorphic Rock,,35.6,1260,6.79,,29.824166252770038,,5.158120553538403,2.198724542275252,2.7762612904835566,0.04849083215796897,0.022642098688319796,19.024760393858738,,0.5951665417678006,,,,,,,,,10.0,
,W21,30.49,101.53,,Metamorphic Rock,,34.36,2855,7.14,,22.812089141935076,,4.928757657373591,1.9928409792223825,3.041244573082489,0.04860366713681241,0.02450551738496773,12.247366954674776,,0.5287697930600563,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,55.2,2551.3,6.64,,45.96861249873792,,19.269441115306552,1.1956387574573133,0.3785119017915065,0.6705218617771509,0.07058088694565896,22.42475351050858,,1.9591644649511613,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,39.4,2188,8.08,,44.32547214922285,,18.141765582768578,1.1693067270109032,0.36835670442636853,0.5796332863187588,0.07288153237559859,22.069659503612115,,1.923868812710527,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,56,2140,9.56,,48.09923536518973,,20.15287756914826,1.096893643283275,0.357303258645641,0.5805359661495062,0.07089319175515302,23.863919445136418,,1.976812291071479,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,55.6,2699,8.81,,64.72470340259186,,29.54488146444621,1.2104505245834192,0.3615449872748141,0.5796897038081805,0.07412034145325838,31.05112034718307,,1.9028960338429037,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,55.4,2000,9.98,,46.45969263668794,,20.21118505736182,1.4942911891380375,0.16339983082988171,0.4804288032834414,0.01354407150392463,22.03493136316555,,2.0619123214052784,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,52.1,2152,8.24,,50.145753010813934,,19.96544692519529,1.4635078276074882,0.3469638164080044,0.5612285472496473,0.0,25.7928963826356,,2.0157095117179007,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,54.2,1830,9.72,,49.940796724343876,,18.935322961602008,1.127248919657235,0.4831970018390688,0.5648265162200281,0.010113470747449511,27.01056102581584,,1.8095268284622474,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,56.5,2465,7.73,,52.01871336357467,,20.40916548574281,1.6288006583007613,0.24267678027845702,0.5143300423131171,0.007151780137414116,27.112532941747187,,2.1040556750549255,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,56,1980,8.3,,50.64903072945874,,17.94654831025053,1.4966879242954125,2.800563900394231,0.6660084626234132,0.018155319591921716,25.92635962554575,,1.7947071867574804,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,55,—,6.63,,46.710181243161344,,16.73357396501026,1.5033532195021602,3.0836369080293426,0.42640338504936526,0.02228815323755986,23.150464134467885,,1.7904614778647665,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,55.2,2150,7.04,,48.851675466418286,,16.81791583029825,1.4489199753137214,2.827511352861919,0.431706629055007,0.016385592338122007,25.567958332787036,,1.7412777537642299,,,,,,,,,10.0,
,W22,30.54,101.62,,Metamorphic Rock,,54,56500,7.54,,53.848989813348894,,20.547748870377948,1.3637523143386134,2.669594291132292,0.5603385049365303,0.0072558817405788045,26.614250173722642,,2.0860497771002833,,,,,,,,,10.0,
