X,Y,OBJECTID,NAME,WATER_TEMP,DISCHARGE,GT_SILICA,GT_ALKALI,PH,CONDUCTIVITY,HARDNESS,CA_MG_L,MG_MG_L,NA_MG_L,K_MG_L,HCO3_MG_L,SO4_MG_L,CO3_MG_L,SIO2_MG_L,CL_MG_L,F_MG_L,E_ISO_18O,E_ISO_2H,RAD_ISO_3H,RAD_ISO_14C,GAS_NOBLE,GAS_DISS,GAS_EMITTED,REFERENCE,REF_LINK,COMMENTS,LOC_SOURCE,LATITUDE_DD,LONGITUDE_DD
607236.6216,358937.8025,38,Tawah Creek HS,46,2,177,,6.72,3000,,167,141,515,54.6,2440,5.01,,191,52.7,0.023,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.71487,-130.70947
604896.1842,365213.064300001,39,Elwyn Creek HS,36,3.5,154,,6.01,2780,,126,104,659,49,2512,0.62,,134,51,0.25,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,57.77206,-130.74563
354071.283399999,716161.381100001,40,Vista Mountain WS,13.7,4,110,108,10.07,624,14,5.8,0,126,2.3,12,185,20,58.4,34.8,9.85,-22.42,-177.25,<0.8±0.3,,,,,"EBA, A Tetra Tech Company 2012. Preliminary Geothermal Assessment; Vista Mountain Warm Springs; Whitehorse; Yukon - W23101579.004","""EBA FILE""",slight H2S odour at one seep location,Publication location data,60.915894,-135.18883
404006.8049,610586.056299999,41,Morin North WS,9.5,25,83,,7.53,,,61,13,1.65,0.8,134,5.4,,32,0.2,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,,Publication location data,59.98333,-134.21667
403429.4792,609026.3322,42,Morin Middle,15,20,91,,7.29,,,68,15.8,2.85,1.04,122,7.5,,39,0.1,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,,Publication location data,59.96917,-134.22623
552605.0955,165578.7925,43,Bailey Bay HS,88.3,,,,,,,,,,,,,,,,,,,,,,,,"Waring 1917; Roman et. Al. 1980","https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf; https://www.osti.gov/servlets/purl/897428",,Approximate location digitized from publication map and location description,55.9778245,-131.6640596
558705.8891,160374.285599999,44,Bell Island HS,74,1.7,,,,,,,,,,,,,,,,,,,,,,,"Waring 1917; Roman et. Al. 1980","https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf; https://www.osti.gov/servlets/purl/897428",,Approximate location digitized from publication map and location description,55.9299379,-131.568339
590862.408199999,153851.222100001,45,Saks Cove?Robinson Creek HS,,,,,,,,,,,,,,,,,,,,,,,,,Waring 1917,https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf,,Approximate location digitized from publication map and location description,55.865437,-131.0605
565171.021199999,193591.952,46,Bradfield HS,57,0.4,,,,,,,,,,,,,,,,,,,,,,,Roman et. Al. 1980,https://www.osti.gov/servlets/purl/897428,,Approximate location digitized from publication map and location description,56.2296634,-131.4570819
-3404995.0952,3909352.944,47,Barnes Lake HS,26,0.5,,,,,,,,,,,,,,,,,,,,,,,Roman et. Al. 1980,https://www.osti.gov/servlets/purl/897428,,Approximate location digitized from publication map and location description,56.6755021,131.8932711
725248.702199999,836302.5403,48,East Cantung WS,29,30,,,,,,,,,,,,,,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),61.95349,-128.20347
713536.347899999,853570.886499999,49,North Cantung HS,32,40,66,,,,,19,12.9,0.8,0.7,,,,21,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009","http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; published source",,Publication location data,62.115,-128.405
746584.929199999,777121.6405,50,Caesar Lake,3,40,82,,7.4,,,110,7.5,12,1.4,201,36,,31,1.5,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,,Located from ArcGIS imagery,61.4103,-127.88
204006.267899999,564618.049900001,51,Tatsenshini,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geothermal resources of British Columbia; Geological Survey of Canada; Open File 2526; 1992; 1 sheet",https://doi.org/10.4095/133397,,Publication location data,59.472,-137.715
696705.929500001,1079552.3197,52,Deca West,16,1,85,,7.4,,,285,112,82,1.6,98.9,1368,0.03,34,122,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Located from imagery based on publication location (Google Earth/ArcMap),64.14593,-128.45046
706271.390000001,1082536.5475,53,Snail,,,,,,,,,,,,,,,,,,,,,,,,,"Woodsworth; Glen.; Woodsworth; David. 2014. Hot Springs of Western Canada; a complete guide. 3rd ed.; Gordon Soules Book Publishers; Vancouver; BC. 2014",Book,,Publication location data,64.167,-128.25
670681.533299999,1062688.8905,54,Mountain 1,10,15,85,,7.9,,,350,102,80,1.6,106,1182,0.03,34,114,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Publication location data,64.009,-129.00417
670464.974099999,1062676.9453,55,Mountain 2,10,1.5,85,,7.87,,,390,65,420,6.2,102,1007,0.03,34,535,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Publication location data,64.009,-129.00861
698794.7766,1072683.6722,56,Ekwi (Godlin R.) HS,46,30,106,,7.5,,,260,66,5850,80,278,1191,,54,8312,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1977; Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; May 5; 2016; Crandall; J.T.; Sadlier-Brown; T.L.; 1976 Data on Geothermal Areas; Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia","https://doi.org/10.4095/8331; https://doi.org/10.4095/290116; https://doi.org/10.4095/100376",,Publication location data,64.08333,-128.41667
403429.4792,609026.3322,57,Morin South WS,17,1,85,,8.2,,,59,13.8,1.8,0.7,138,5,,34,0.1,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,,Located from imagery based on publication location (Google Earth/ArcMap),59.96917,-134.22623
416763.3816,598458.771299999,58,Jones Lake WS,13,45,91,,7.6,,,58,9.8,2.4,1.1,114,8.9,,39,0.1,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,,Located from imagery based on publication location (Google Earth/ArcMap),59.87721,-133.98356
438766.151000001,545393.6129,59,Atlin WS,29,15,80,,8.2,,,67,18.5,3.4,0.7,150,12,,30,0.2,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009",https://doi.org/10.4095/133397,,Located from known location using imagery,59.40394,-133.57545
492939.821699999,530250.570699999,60,Nakina WS,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet",https://doi.org/10.4095/133397,,Located from imagery based on publication location (Google Earth/ArcMap),59.27227,-132.62351
656367.325099999,575049.117000001,61,Blue River WS,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet",https://doi.org/10.4095/133397,,Located from imagery based on publication location (Google Earth/ArcMap),59.64472,-129.73254
870801.5045,575153.178200001,62,Deer River HS,42,73,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet; McDonald; Jim; Donna Pollock; Bob McDermott. Hotsprings of Western Canada A Complete Guide. Labrador Tea Company. Vancouver B.C.; 1978",https://doi.org/10.4095/133397,,Digitized using Google Earth from published location description.,59.50406,-125.95633
927946.8298,516755.4111,63,Toad River HS ,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009",https://doi.org/10.4095/133397,,Located from imagery based on publication location (Google Earth/ArcMap),58.92503,-125.07669
933208.8332,581299.2663,64,Lepine Creek WS,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbank; B P; Faulkner; R L; Hickson; C J (ed.); Roots; C (ed.); Southern; J G (ed.); Woodsworth; G J (ed.); Jessop; A M (ed.); Bentkowski; W H (ed.); Lewis; T J (ed.); Macrae; J M (ed.); Rowling; J (ed.); Church; B N (ed.); Finvers; M (ed.). Geological Survey of Canada; Open File 2526; 1992; 1 sheet; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009",https://doi.org/10.4095/133397,Warm spring is located according to the published location description. The coordinates provided are several kilometres from the described location.,Located from imagery based on publication location (Google Earth/ArcMap),59.4963,-124.85186
892352.548599999,589627.0635,65,Grayling River HS,58,,,,,,,,,,,,,,,,,,,,,,,,"Woodsworth; Glen.; Woodsworth; David. 2014. Hot Springs of Western Canada; a complete guide. 3rd ed.; Gordon Soules Book Publishers; Vancouver; BC. 2014",Book,,Located from imagery based on publication location (Google Earth/ArcMap),59.61295,-125.55107
786428.422599999,846634.545299999,66,Glacier Lake,3,25,101,,6.4,,,58,11,1.2,0.8,30.4,169,,48,,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Publication location data,62.00365,-127.02467
697600.8873,1079617.5212,67,Deca East,22,7,90,,7.3,,,155,60,2.8,0.7,78.7,827,0.03,38,1.8,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Located from imagery based on publication location (Google Earth/ArcMap),64.146,-128.432
-132782.9441,1239975.9634,68,Chena HS,74,,,,,,,,,,,,,,,,,,,,,,,,Erkan et. Al. Thermal characteristics of the Chena Hot Springs 2007,https://pangea.stanford.edu/ERE/pdf/IGAstandard/SGW/2007/erkan.pdf,,Publication location data,65.0309834,-146.0524335
-66812.3246999998,1243914.1894,69,Big Windy HS,61,,,,,,,,,,,,,,,,,,,,,,,,"Juday 1998; Alaska research natural areas 4: Big Windy Hot Springs",http://hdl.handle.net/11122/2492,,Location estimated from publication map,65.184661,-144.692004
-57144.1952999998,1276707.7449,70,Circle HS,57.2,,,,,,,,,,,,,,,,,,,,,,,,"Nava and Morison 1974; a not on hot springs in the interior of Alaska",https://doi.org/10.14430/arctic2879,No pool identified during site visits,Publication location data,65.489454,-144.622314
21929.3959999997,1218689.8705,71,Flat Charley HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://doi.org/10.14430/arctic2879,"Reconnaissance noted snow free mounds, but no free flowing springs",Approximate location from description near the Flat Creek headwaters,65.102092,-142.732627
-5595.24530000053,1153857.4432,72,Charley River HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://doi.org/10.14430/arctic2879,"Reconnaissance noted snow free mounds, but no free flowing springs. Springs are of significant interest due to proximity to the communities of Dawson City and Beaver Creek in Yukon.",Approximate location from description near the Charley River Headwaters.,64.488981,-143.081535
-29817.8704000004,751074.2071,73,Kianga HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Approximate location digitized from publication map,60.889151,-142.289668
209789.1578,474269.1874,74,Lituya Bay HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Approximate location digitized from publication map,58.665373,-137.488566
299332.2612,407958.7841,75,Mud-Neka HS,46,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska; Nava 1975 A note on hot springs in SE Alaska","https://www.osti.gov/servlets/purl/7350016; https://pubs.aina.ucalgary.ca/arctic/Arctic28-2-143.pdf",,Approximate location digitized from publication map and location description,58.122279,-135.892103
296574.629899999,395148.0374,76,Tenakee Head HS,76,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska","https://www.osti.gov/servlets/purl/7350016; https://pubs.aina.ucalgary.ca/arctic/Arctic28-2-143.pdf",,Approximate location digitized from publication map and location description,58.005582,-135.926934
289118.6942,377172.4312,77,Lisianski HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Approximate location digitized from publication map and location description,57.839992,-136.035412
299996.787799999,368797.5484,78,Peril HS,39,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Approximate location digitized from publication map and location description,57.769868,-135.845988
270810.7622,374472.517999999,79,White Sulphur HS,57.2,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Publication location data,57.806075,-136.338884
337451.162599999,367917.418400001,80,Tenakee HS,41.1,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Publication location data,57.778095,-135.219618
323201.111500001,265284.2194,81,Goddard HS,67.2,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Publication location data,56.846531,-135.379772
363517.2469,249498.2849,82,Gut Bay HS,,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Approximate location digitized from publication map and location description,56.718592,-134.714728
357889.4241,290789.1186,83,Baranoff HS,51.1,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Publication location data,57.0896723,-134.8305897
527589.309599999,248123.579299999,84,Chief Shakes HS,60,,,,,,,,,,,,,,,,,,,,,,,,"Miller, T P. Distribution and chemical analyses of thermal springs in Alaska",https://www.osti.gov/servlets/purl/7350016,,Publication location data,56.726836,-132.05231
515224.8091,239633.999199999,85,Mt. Rynda HS,,,,,,,,,,,,,,,,,,,,,,,,,Waring 1917,https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf,,Approximate location digitized from publication map,56.6506976,-132.2534895
518633.298800001,246078.479599999,86,Twin Lakes HS,21,4.5,,,,,,,,,,,,,,,,,,,,,,,"Waring 1917; Roman et. Al. 1980","https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf; https://www.osti.gov/servlets/purl/897428; https://www.osti.gov/servlets/purl/897428",,Approximate location digitized from publication map,56.7088271,-132.1978004
493647.848999999,218200.455700001,87,Vank Island HS,,,,,,,,,,,,,,,,,,,,,,,,,Waring 1917,https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf,,Approximate location digitized from publication map,56.4570945,-132.6023179
595398.4662,185203.157600001,88,Unuk River HS,,,,,,,,,,,,,,,,,,,,,,,,,Waring 1917,https://dggs.alaska.gov/webpubs/usgs/wsp/text/wsp-0418.pdf,,Approximate location digitized from publication map and location description,56.1482276,-130.9767313
